"Partei: Nr","Partei:Kurzbezeichnung","Partei: Name","Thesen: Nr.","These: These","Position: Position"
2,"SPD","Sozialdemokratische Partei Deutschlands",7,"Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden. ","stimmt zu"
3,"AfD","Alternative für Deutschland",7,"Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",7,"Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden. ","neutral"
5,"DIE LINKE","DIE LINKE",7,"Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden. ","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",7,"Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden. ","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","neutral"
3,"AfD","Alternative für Deutschland",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",8,"Deutschland soll einem Schuldenschnitt für Griechenland zustimmen. ","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",9,"Generelles Tempolimit auf Autobahnen!","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",9,"Generelles Tempolimit auf Autobahnen!","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",9,"Generelles Tempolimit auf Autobahnen!","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",9,"Generelles Tempolimit auf Autobahnen!","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",9,"Generelles Tempolimit auf Autobahnen!","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",9,"Generelles Tempolimit auf Autobahnen!","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","neutral"
3,"AfD","Alternative für Deutschland",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","stimmt zu"
5,"DIE LINKE","DIE LINKE",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",10,"Die Verteidigungsausgaben Deutschlands sollen erhöht werden. ","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt zu"
3,"AfD","Alternative für Deutschland",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",11,"Betreiber von Internetseiten sollen gesetzlich dazu verpflichtet sein, Falschinformationen (“Fake News”) zu löschen, auf die sie hingewiesen wurden. ","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",12,"Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft. ","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",13,"Kindergeld soll nur an deutsche Familien ausgezahlt werden.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","neutral"
4,"FDP","Freie Demokratische Partei",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","stimmt zu"
5,"DIE LINKE","DIE LINKE",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",14,"Arbeitsverträge sollen weiterhin ohne Angabe von Gründen befristet sein dürfen.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt zu"
5,"DIE LINKE","DIE LINKE",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",15,"Kinder sollen gegen ansteckende Krankheiten geimpft werden müssen.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",16,"Alle Banken sollen verstaatlicht werden. ","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
3,"AfD","Alternative für Deutschland",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
5,"DIE LINKE","DIE LINKE",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",17,"Der Völkermord an den europäischen Juden soll weiterhin zentraler Bestandteil der deutschen Erinnerungskultur sein. ","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","stimmt zu"
5,"DIE LINKE","DIE LINKE",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",18,"Haushaltsüberschüsse sollen überwiegend zum Abbau von Staatsschulden verwendet werden. ","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",19,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",19,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","stimmt zu"
3,"AfD","Alternative für Deutschland",19,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","stimmt zu"
4,"FDP","Freie Demokratische Partei",19,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",29,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",19,"Die Gesamtzahl der Nutztiere in den landwirtschaftlichen Betrieben einer Gemeinde soll begrenzt werden können. ","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","stimmt zu"
3,"AfD","Alternative für Deutschland",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","stimmt zu"
4,"FDP","Freie Demokratische Partei",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","stimmt zu"
5,"DIE LINKE","DIE LINKE",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",20,"In Deutschland soll auch zukünftig Braunkohle abgebaut werden dürfen.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","stimmt zu"
3,"AfD","Alternative für Deutschland",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","neutral"
4,"FDP","Freie Demokratische Partei",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","stimmt zu"
5,"DIE LINKE","DIE LINKE",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",21,"Unternehmen sollen weiterhin Leiharbeiterinnen und Leiharbeiter beschäftigen dürfen.","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","stimmt zu"
3,"AfD","Alternative für Deutschland",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","stimmt zu"
5,"DIE LINKE","DIE LINKE",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",22,"In Deutschland geborene und aufgewachsene Kinder ausländischer Eltern sollen weiterhin neben der deutschen ihre zweite Staatsangehörigkeit behalten dürfen.","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","neutral"
4,"FDP","Freie Demokratische Partei",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","neutral"
5,"DIE LINKE","DIE LINKE",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",23,"Bereits nach 40 Beitragsjahren soll der Renteneintritt abschlagsfrei möglich sein.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt zu"
4,"FDP","Freie Demokratische Partei",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",24,"Deutschland soll zu einer nationalen Währung zurückkehren.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt zu"
4,"FDP","Freie Demokratische Partei",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt zu"
5,"DIE LINKE","DIE LINKE",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",25,"Die Frauenquote für die Aufsichtsräte börsennotierter Unternehmen soll abgeschafft werden.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",26,"Hohe Vermögen sollen besteuert werden.","neutral"
2,"SPD","Sozialdemokratische Partei Deutschlands",26,"Hohe Vermögen sollen besteuert werden.","neutral"
3,"AfD","Alternative für Deutschland",26,"Hohe Vermögen sollen besteuert werden.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",26,"Hohe Vermögen sollen besteuert werden.","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",26,"Hohe Vermögen sollen besteuert werden.","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",26,"Hohe Vermögen sollen besteuert werden.","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu "
3,"AfD","Alternative für Deutschland",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt zu"
4,"FDP","Freie Demokratische Partei",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu "
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu "
2,"SPD","Sozialdemokratische Partei Deutschlands",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu"
3,"AfD","Alternative für Deutschland",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu "
5,"DIE LINKE","DIE LINKE",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu"
3,"AfD","Alternative für Deutschland",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt nicht zu "
4,"FDP","Freie Demokratische Partei",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu"
5,"DIE LINKE","DIE LINKE",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt zu"
2,"SPD","Sozialdemokratische Partei Deutschlands",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt nicht zu "
